Filename,Architecture,Initial Depth,Sabre Depth,Zach Depth,Sabre Swaps,Zach Swaps,Zach Activations,Sabre Depth reduction,Zach Depth reduction,Sabre Time taken,Zach Time taken
IQP_5.qasm,['Qgrid_20'],32,39,37,3,5,,1.219,1.156,0.002,0.024
IQP_6.qasm,['IBM_Q20'],40,51,46,2,6,,1.275,1.15,0.002,0.032
IQP_6.qasm,['Qgrid_20'],40,58,52,6,9,,1.45,1.3,0.003,0.04
IQP_7.qasm,['IBM_Q20'],48,64,57,6,11,,1.333,1.188,0.003,0.071
IQP_7.qasm,['Qgrid_20'],48,63,64,10,11,,1.312,1.333,0.003,0.06
IQP_8.qasm,['IBM_Q20'],56,90,95,8,10,,1.607,1.696,0.004,0.072
IQP_8.qasm,['Qgrid_20'],56,96,80,16,21,,1.714,1.429,0.004,0.168
IQP_9.qasm,['IBM_Q20'],60,114,111,13,16,,1.9,1.85,0.004,0.139
IQP_9.qasm,['Qgrid_20'],60,105,106,18,22,,1.75,1.767,0.004,0.249
OR_10.qasm,['IBM_Q20'],2557,2687,2709,146,245,,1.051,1.059,0.061,21.694
OR_10.qasm,['Qgrid_20'],2557,2944,2920,467,655,,1.151,1.142,0.07,58.396
OR_5.qasm,['IBM_Q20'],82,84,88,1,6,,1.024,1.073,0.003,0.036
OR_5.qasm,['Qgrid_20'],82,90,90,10,16,,1.098,1.098,0.003,0.08
OR_6.qasm,['IBM_Q20'],157,161,176,3,17,,1.025,1.121,0.021,0.141
OR_6.qasm,['Qgrid_20'],157,174,179,23,46,,1.108,1.14,0.019,0.344
OR_7.qasm,['IBM_Q20'],317,324,340,7,34,,1.022,1.073,0.011,0.456
OR_7.qasm,['Qgrid_20'],317,357,376,43,101,,1.126,1.186,0.01,1.268
OR_8.qasm,['IBM_Q20'],637,645,651,12,21,,1.013,1.022,0.016,1.371
OR_8.qasm,['Qgrid_20'],637,707,737,88,142,,1.11,1.157,0.017,3.679
OR_9.qasm,['IBM_Q20'],1277,1315,1360,48,135,,1.03,1.065,0.051,7.125
OR_9.qasm,['Qgrid_20'],1277,1468,1450,261,278,,1.15,1.135,0.052,12.578
phase_estimation_10.qasm,['IBM_Q20'],2604,2859,2823,169,122,,1.098,1.084,0.103,35.584
phase_estimation_10.qasm,['Qgrid_20'],2604,3541,3568,684,776,,1.36,1.37,0.114,99.559
phase_estimation_5.qasm,['IBM_Q20'],84,85,93,2,6,,1.012,1.107,0.003,0.057
phase_estimation_5.qasm,['Qgrid_20'],84,104,102,15,35,,1.238,1.214,0.004,0.196
phase_estimation_6.qasm,['IBM_Q20'],172,178,178,4,5,,1.035,1.035,0.006,0.053
phase_estimation_6.qasm,['Qgrid_20'],172,223,215,41,53,,1.297,1.25,0.007,0.481
phase_estimation_7.qasm,['IBM_Q20'],340,376,345,30,4,,1.106,1.015,0.012,0.88
phase_estimation_7.qasm,['Qgrid_20'],340,451,445,90,109,,1.326,1.309,0.013,1.961
phase_estimation_8.qasm,['IBM_Q20'],668,687,740,10,54,,1.028,1.108,0.036,1.884
phase_estimation_8.qasm,['Qgrid_20'],668,900,909,176,198,,1.347,1.361,0.028,9.448
phase_estimation_9.qasm,['IBM_Q20'],1316,1452,1425,77,54,,1.103,1.083,0.041,4.206
phase_estimation_9.qasm,['Qgrid_20'],1316,1799,1784,346,409,,1.367,1.356,0.062,27.821
phase_oracle_10.qasm,['IBM_Q20'],636,645,681,14,32,,1.014,1.071,0.017,1.19
phase_oracle_10.qasm,['Qgrid_20'],636,783,757,117,150,,1.231,1.19,0.021,3.764
phase_oracle_5.qasm,['IBM_Q20'],36,36,36,0,0,,1,1,0.002,0.005
