Filename,Architecture,Initial Depth,Sabre Depth,Zach Depth,Sabre Swaps,Zach Swaps,Zach Changes,Zach Activations,Sabre Depth reduction,Zach Depth reduction,Sabre Time taken,Zach Time taken
integer_comparator_8.qasm,['Qgrid_20'],53,59,57,8,13,1,13,1.113,1.075,0.006,0.059
IQP_10.qasm,['IBM_Q20'],72,104,113,20,19,1,26,1.444,1.569,0.017,0.189
IQP_10.qasm,['Qgrid_20'],72,98,103,24,35,3,35,1.361,1.431,0.021,0.319
IQP_5.qasm,['IBM_Q20'],32,32,32,1,1,0,1,1.0,1.0,0.003,0.008
IQP_5.qasm,['Qgrid_20'],32,34,37,6,5,0,5,1.062,1.156,0.004,0.024
IQP_6.qasm,['IBM_Q20'],40,48,47,6,6,0,6,1.2,1.175,0.005,0.029
IQP_6.qasm,['Qgrid_20'],40,47,52,7,9,0,9,1.175,1.3,0.006,0.04
IQP_7.qasm,['IBM_Q20'],48,62,55,4,9,1,11,1.292,1.146,0.007,0.05
IQP_7.qasm,['Qgrid_20'],48,67,61,10,18,1,21,1.396,1.271,0.011,0.093
IQP_8.qasm,['IBM_Q20'],56,87,89,10,9,0,9,1.554,1.589,0.01,0.078
IQP_8.qasm,['Qgrid_20'],56,93,84,16,27,2,29,1.661,1.5,0.014,0.186
IQP_9.qasm,['IBM_Q20'],60,107,105,11,14,0,13,1.783,1.75,0.015,0.133
IQP_9.qasm,['Qgrid_20'],60,93,99,19,21,1,21,1.55,1.65,0.017,0.228
OR_10.qasm,['IBM_Q20'],2557,2616,2706,126,192,21,177,1.023,1.058,0.206,23.995
OR_10.qasm,['Qgrid_20'],2557,2969,2965,505,643,47,469,1.161,1.16,0.35,61.748
OR_5.qasm,['IBM_Q20'],82,84,85,1,2,1,3,1.024,1.037,0.006,0.035
OR_5.qasm,['Qgrid_20'],82,91,86,5,7,0,5,1.11,1.049,0.008,0.065
OR_6.qasm,['IBM_Q20'],157,158,161,2,13,0,15,1.006,1.025,0.011,0.125
OR_6.qasm,['Qgrid_20'],157,179,179,38,31,4,34,1.14,1.14,0.023,0.225
OR_7.qasm,['IBM_Q20'],317,319,329,3,19,0,17,1.006,1.038,0.02,0.403
OR_7.qasm,['Qgrid_20'],317,365,366,67,63,6,51,1.151,1.155,0.045,0.868
OR_8.qasm,['IBM_Q20'],637,666,667,37,61,19,74,1.046,1.047,0.05,1.533
OR_8.qasm,['Qgrid_20'],637,723,718,116,171,14,145,1.135,1.127,0.094,3.927
OR_9.qasm,['IBM_Q20'],1277,1300,1337,48,52,3,55,1.018,1.047,0.11,4.748
OR_9.qasm,['Qgrid_20'],1277,1438,1457,202,289,40,269,1.126,1.141,0.175,15.734
phase_estimation_10.qasm,['IBM_Q20'],2604,3113,2660,340,37,2,40,1.195,1.022,0.389,23.322
phase_estimation_10.qasm,['Qgrid_20'],2604,3435,3447,746,811,40,889,1.319,1.324,0.544,106.599
phase_estimation_5.qasm,['IBM_Q20'],84,89,90,3,4,1,8,1.06,1.071,0.009,0.081
phase_estimation_5.qasm,['Qgrid_20'],84,102,109,19,20,1,24,1.214,1.298,0.015,0.136
phase_estimation_6.qasm,['IBM_Q20'],172,178,178,4,4,1,8,1.035,1.035,0.025,0.174
phase_estimation_6.qasm,['Qgrid_20'],172,218,215,36,52,2,51,1.267,1.25,0.034,0.618
phase_estimation_7.qasm,['IBM_Q20'],340,368,342,23,5,0,5,1.082,1.006,0.055,0.434
phase_estimation_7.qasm,['Qgrid_20'],340,442,430,95,107,6,93,1.3,1.265,0.077,2.118
phase_estimation_8.qasm,['IBM_Q20'],668,680,698,11,14,0,15,1.018,1.045,0.072,1.066
phase_estimation_8.qasm,['Qgrid_20'],668,876,854,174,192,5,200,1.311,1.278,0.144,7.793
phase_estimation_9.qasm,['IBM_Q20'],1316,1369,1366,22,24,0,22,1.04,1.038,0.162,5.495
phase_estimation_9.qasm,['Qgrid_20'],1316,1791,1776,377,448,22,443,1.361,1.35,0.272,26.807
phase_oracle_10.qasm,['IBM_Q20'],636,649,683,14,55,11,49,1.02,1.074,0.057,2.06
phase_oracle_10.qasm,['Qgrid_20'],636,728,734,98,143,20,105,1.145,1.154,0.096,3.748
phase_oracle_5.qasm,['IBM_Q20'],36,36,36,0,0,0,0,1.0,1.0,0.002,0.005
phase_oracle_5.qasm,['Qgrid_20'],36,40,42,2,8,2,9,1.111,1.167,0.004,0.021
phase_oracle_6.qasm,['IBM_Q20'],36,36,36,0,0,2,3,1.0,1.0,0.003,0.006
phase_oracle_6.qasm,['Qgrid_20'],36,41,42,3,6,0,4,1.139,1.167,0.004,0.024
phase_oracle_7.qasm,['IBM_Q20'],156,163,159,5,11,5,11,1.045,1.019,0.013,0.14
phase_oracle_7.qasm,['Qgrid_20'],156,186,168,29,18,3,18,1.192,1.077,0.024,0.286
phase_oracle_8.qasm,['IBM_Q20'],156,157,160,2,10,3,13,1.006,1.026,0.013,0.13
phase_oracle_8.qasm,['Qgrid_20'],156,183,180,26,22,1,17,1.173,1.154,0.022,0.271
phase_oracle_9.qasm,['IBM_Q20'],636,666,684,41,44,7,43,1.047,1.075,0.062,1.846
phase_oracle_9.qasm,['Qgrid_20'],636,766,721,141,104,11,90,1.204,1.134,0.097,3.813
piecewise_chebyshev_5.qasm,['IBM_Q20'],353,354,354,3,3,0,4,1.003,1.003,0.021,0.224
piecewise_chebyshev_5.qasm,['Qgrid_20'],353,409,395,59,62,9,80,1.159,1.119,0.047,1.224
piecewise_chebyshev_7.qasm,['IBM_Q20'],1340,1498,1408,148,75,2,77,1.118,1.051,0.158,6.598
piecewise_chebyshev_7.qasm,['Qgrid_20'],1340,1574,1574,226,262,28,262,1.175,1.175,0.178,16.304
piecewise_chebyshev_9.qasm,['IBM_Q20'],3435,3852,3699,339,281,15,323,1.121,1.077,0.367,56.357
piecewise_chebyshev_9.qasm,['Qgrid_20'],3435,4060,3971,572,691,61,725,1.182,1.156,0.495,109.431
qft_10.qasm,['IBM_Q20'],74,130,131,27,21,1,19,1.757,1.77,0.023,0.265
qft_10.qasm,['Qgrid_20'],74,123,141,42,37,1,35,1.662,1.905,0.027,0.476
qft_5.qasm,['IBM_Q20'],34,37,38,4,3,0,3,1.088,1.118,0.003,0.02
qft_5.qasm,['Qgrid_20'],34,39,41,5,8,0,7,1.147,1.206,0.005,0.034
qft_6.qasm,['IBM_Q20'],42,48,49,5,3,1,3,1.143,1.167,0.006,0.05
qft_6.qasm,['Qgrid_20'],42,57,55,12,11,1,11,1.357,1.31,0.008,0.07
qft_7.qasm,['IBM_Q20'],50,70,75,6,11,0,12,1.4,1.5,0.008,0.083
qft_7.qasm,['Qgrid_20'],50,67,69,14,21,1,21,1.34,1.38,0.012,0.115
qft_8.qasm,['IBM_Q20'],58,87,100,13,13,0,15,1.5,1.724,0.013,0.137
qft_8.qasm,['Qgrid_20'],58,87,94,19,26,1,24,1.5,1.621,0.019,0.209
qft_9.qasm,['IBM_Q20'],66,119,112,19,19,1,17,1.803,1.697,0.018,0.171
qft_9.qasm,['Qgrid_20'],66,99,104,32,47,2,40,1.5,1.576,0.022,0.379
quadratic_form_10.qasm,['IBM_Q20'],292,402,377,69,61,5,72,1.377,1.291,0.064,1.647
quadratic_form_10.qasm,['Qgrid_20'],292,396,375,129,127,10,132,1.356,1.284,0.078,2.874
quadratic_form_5.qasm,['IBM_Q20'],82,95,101,4,13,1,17,1.159,1.232,0.011,0.111
quadratic_form_5.qasm,['Qgrid_20'],82,100,92,15,20,3,24,1.22,1.122,0.013,0.167
quadratic_form_6.qasm,['IBM_Q20'],124,140,135,14,13,1,19,1.129,1.089,0.019,0.262
quadratic_form_6.qasm,['Qgrid_20'],124,151,146,27,28,3,32,1.218,1.177,0.022,0.359
quadratic_form_7.qasm,['IBM_Q20'],166,193,205,26,37,6,46,1.163,1.235,0.027,0.46
quadratic_form_7.qasm,['Qgrid_20'],166,214,192,52,45,2,52,1.289,1.157,0.037,0.657
quadratic_form_8.qasm,['IBM_Q20'],208,264,255,39,48,5,62,1.269,1.226,0.036,0.675
quadratic_form_8.qasm,['Qgrid_20'],208,265,274,58,80,7,78,1.274,1.317,0.045,1.293
quadratic_form_9.qasm,['IBM_Q20'],250,314,308,46,48,5,54,1.256,1.232,0.047,1.201
quadratic_form_9.qasm,['Qgrid_20'],250,333,336,88,83,8,81,1.332,1.344,0.06,1.832
quantum_volume_10.qasm,['IBM_Q20'],70,136,159,26,26,0,30,1.943,2.271,0.039,0.596
quantum_volume_10.qasm,['Qgrid_20'],70,151,151,29,30,1,34,2.157,2.157,0.042,0.712
quantum_volume_5.qasm,['IBM_Q20'],35,43,43,1,1,0,1,1.229,1.229,0.006,0.013
quantum_volume_5.qasm,['Qgrid_20'],35,37,37,3,2,0,2,1.057,1.057,0.006,0.024
quantum_volume_6.qasm,['IBM_Q20'],42,73,59,6,4,0,4,1.738,1.405,0.011,0.05
quantum_volume_6.qasm,['Qgrid_20'],42,46,46,4,4,0,4,1.095,1.095,0.012,0.087
quantum_volume_7.qasm,['IBM_Q20'],49,50,51,1,2,0,2,1.02,1.041,0.011,0.032
quantum_volume_7.qasm,['Qgrid_20'],49,58,51,2,2,0,2,1.184,1.041,0.011,0.053
quantum_volume_8.qasm,['IBM_Q20'],56,87,73,9,7,0,8,1.554,1.304,0.02,0.181
quantum_volume_8.qasm,['Qgrid_20'],56,86,93,14,13,0,12,1.536,1.661,0.022,0.225
quantum_volume_9.qasm,['IBM_Q20'],63,110,102,10,10,0,10,1.746,1.619,0.022,0.271
quantum_volume_9.qasm,['Qgrid_20'],63,112,136,28,20,0,20,1.778,2.159,0.027,0.44
weighted_adder_6.qasm,['IBM_Q20'],63,71,65,3,2,0,2,1.127,1.032,0.006,0.031
weighted_adder_6.qasm,['Qgrid_20'],63,78,80,12,18,0,19,1.238,1.27,0.01,0.096
weighted_adder_9.qasm,['IBM_Q20'],229,273,278,37,50,2,57,1.192,1.214,0.041,0.65
weighted_adder_9.qasm,['Qgrid_20'],229,303,262,70,88,5,71,1.323,1.144,0.053,1.192
