Filename,Architecture,Initial Depth,Sabre Depth,Zach Depth,Sabre Swaps,Zach Swaps,Zach Changes,Zach Activations,Sabre Time taken,Zach Time taken,,
integer_comparator_8.qasm,['IBM_Q20'],53,53,53,0,0,0,0,0.004,0.017,,
integer_comparator_8.qasm,['Qgrid_20'],53,57,58,7,9,0,10,0.007,0.049,,
IQP_10.qasm,['IBM_Q20'],72,117,117,13,15,0,18,0.02,0.2,,
IQP_10.qasm,['Qgrid_20'],72,101,110,22,29,0,29,0.026,0.303,,
IQP_11.qasm,['IBM_Q20'],79,138,131,18,19,0,23,0.024,0.33,,
IQP_11.qasm,['Qgrid_20'],79,132,134,42,36,3,45,0.033,0.53,,
IQP_5.qasm,['IBM_Q20'],32,32,35,1,2,0,2,0.004,0.011,,
IQP_5.qasm,['Qgrid_20'],32,39,35,8,9,2,11,0.004,0.027,,
IQP_6.qasm,['IBM_Q20'],40,44,43,3,3,0,3,0.006,0.021,,
IQP_6.qasm,['Qgrid_20'],40,53,53,8,7,0,7,0.007,0.048,,
IQP_7.qasm,['IBM_Q20'],48,58,63,4,6,0,5,0.008,0.05,,
IQP_7.qasm,['Qgrid_20'],48,66,67,11,11,0,10,0.012,0.071,,
IQP_8.qasm,['IBM_Q20'],56,87,82,11,8,1,9,0.014,0.066,,
IQP_8.qasm,['Qgrid_20'],56,89,88,16,16,1,16,0.016,0.16,,
IQP_9.qasm,['IBM_Q20'],60,105,98,11,10,0,10,0.016,0.105,,
IQP_9.qasm,['Qgrid_20'],60,99,100,22,24,0,27,0.022,0.212,,
OR_10.qasm,['IBM_Q20'],2557,2691,2720,155,267,25,223,0.278,27.406,,
OR_10.qasm,['Qgrid_20'],2557,2948,2945,469,681,80,570,0.405,61.679,,
OR_11.qasm,['IBM_Q20'],5117,5502,5383,455,397,76,367,0.614,104.844,,
OR_11.qasm,['Qgrid_20'],5117,5938,5867,1059,1238,107,940,0.862,252.898,,
OR_5.qasm,['IBM_Q20'],82,82,82,1,2,0,2,0.006,0.029,,
OR_5.qasm,['Qgrid_20'],82,86,84,9,11,2,12,0.008,0.06,,
OR_6.qasm,['IBM_Q20'],157,165,162,14,13,0,15,0.018,0.126,,
OR_6.qasm,['Qgrid_20'],157,165,175,15,37,6,39,0.025,0.21,,
OR_7.qasm,['IBM_Q20'],317,321,323,7,9,0,6,0.029,0.358,,
OR_7.qasm,['Qgrid_20'],317,359,361,42,84,8,73,0.056,1.094,,
OR_8.qasm,['IBM_Q20'],637,647,652,25,29,3,25,0.051,0.923,,
OR_8.qasm,['Qgrid_20'],637,737,717,148,117,18,105,0.125,3.485,,
OR_9.qasm,['IBM_Q20'],1277,1299,1340,46,91,19,89,0.128,5.288,,
OR_9.qasm,['Qgrid_20'],1277,1478,1465,248,269,26,211,0.214,14.539,,
phase_estimation_10.qasm,['IBM_Q20'],2604,2964,2651,265,36,0,34,0.351,14.558,,
phase_estimation_10.qasm,['Qgrid_20'],2604,3458,3692,703,826,35,893,0.572,113.284,,
phase_estimation_11.qasm,['IBM_Q20'],5172,5704,5260,290,50,3,60,0.707,144.587,,
phase_estimation_11.qasm,['Qgrid_20'],5172,7001,6984,1451,1490,20,1440,1.426,438.515,,
phase_estimation_5.qasm,['IBM_Q20'],84,88,85,2,2,0,1,0.012,0.051,,
phase_estimation_5.qasm,['Qgrid_20'],84,104,104,24,18,1,18,0.023,0.158,,
phase_estimation_6.qasm,['IBM_Q20'],172,172,177,3,3,0,3,0.031,0.157,,
phase_estimation_6.qasm,['Qgrid_20'],172,226,212,35,42,0,40,0.05,0.581,,
phase_estimation_7.qasm,['IBM_Q20'],340,411,357,47,13,0,17,0.078,0.364,,
phase_estimation_7.qasm,['Qgrid_20'],340,447,440,91,112,7,124,0.102,2.158,,
phase_estimation_8.qasm,['IBM_Q20'],668,797,692,78,16,0,16,0.15,1.698,,
phase_estimation_8.qasm,['Qgrid_20'],668,871,889,184,225,11,226,0.199,7.627,,
phase_estimation_9.qasm,['IBM_Q20'],1316,1639,1352,174,21,2,22,0.35,3.901,,
phase_estimation_9.qasm,['Qgrid_20'],1316,1799,1749,383,406,27,424,0.368,33.872,,
phase_oracle_10.qasm,['IBM_Q20'],636,657,676,21,61,9,50,0.089,1.485,,
phase_oracle_10.qasm,['Qgrid_20'],636,760,768,114,189,22,152,0.137,3.706,,
phase_oracle_11.qasm,['IBM_Q20'],2556,2731,2793,151,261,35,219,0.373,28.745,,
phase_oracle_11.qasm,['Qgrid_20'],2556,3029,3036,486,602,53,440,0.524,65.342,,
phase_oracle_5.qasm,['IBM_Q20'],36,36,36,0,0,1,1,0.003,0.007,,
phase_oracle_5.qasm,['Qgrid_20'],36,38,38,2,2,1,3,0.005,0.017,,
phase_oracle_6.qasm,['IBM_Q20'],36,36,36,1,0,1,1,0.003,0.006,,
phase_oracle_6.qasm,['Qgrid_20'],36,38,36,2,5,1,4,0.005,0.023,,
