Filename,Architecture,Initial Depth,Sabre Depth,Zach Depth,Sabre Swaps,Zach Swaps,Zach Activations,Sabre Depth reduction,Zach Depth reduction,Sabre Time taken,Zach Time taken
AND_10.qasm,['IBM_Q20'],2556,2564,2560,35,153,,1.003,1.002,0.079,13.633
AND_10.qasm,['Qgrid_20'],2556,2569,2601,159,353,,1.005,1.018,0.069,22.428
AND_11.qasm,['IBM_Q20'],5116,5122,5146,99,296,,1.001,1.006,0.147,65.294
AND_11.qasm,['Qgrid_20'],5116,5126,5174,297,679,,1.002,1.011,0.138,77.128
AND_12.qasm,['IBM_Q20'],10236,10244,10262,134,582,,1.001,1.003,0.27,156.488
AND_12.qasm,['Qgrid_20'],10236,10245,10324,607,1231,0,1.001,1.009,0.329,269.23
AND_13.qasm,['IBM_Q20'],20476,20485,20549,460,1937,,1.0,1.004,0.793,919.405
AND_13.qasm,['Qgrid_20'],20476,20493,20502,1322,1789,,1.001,1.001,0.831,1204.957
AND_14.qasm,['IBM_Q20'],40956,41026,41161,574,2325,,1.002,1.005,1.699,4748.387
